,velocity center,velocity width,line amplitude
x0_e,-28.469212215975016,,
x0_e_err,0.049626551462157276,,
x0_b,-24.380561169367983,,
x0_b_err,1.342588980341759,,
x0_b2,-32.586657493118764,,
x0_b2_err,34.7113684641804,,
x0_a,,,
x0_a_err,,,
sigma_e,,41.35945882177113,
sigma_e_err,,0.07683696214357444,
sigma_b,,92.81421589210888,
sigma_b_err,,3.726706441855196,
sigma_b2,,292.5525329717469,
sigma_b2_err,,59.33097494855682,
sigma_a,,,
sigma_a_err,,,
amp_4959,,,5.04042551825079
amp_4959_b,,,0.12918766410763372
amp_4959_b2,,,0.0050442829712034065
amp_4959_err,,,0.011388495870073697
amp_4959_b_err,,,0.01050834882426531
amp_4959_b2_err,,,0.00201229691347494
